t_mono_ns,t_wall,backend,synthetic,util_gpu_pct,mem_bus_busy_pct,mem_used_bytes,mem_total_bytes,power_w,power_limit_w,sm_clock_mhz,mem_clock_mhz,temp_c,sm_active_frac,dram_active_frac,tensor_active_frac,kv_cache_perc,num_running,num_waiting
7167295730795,1781486320.2932537,nvidia-smi,False,0.0,0.0,38441844736.0,41875931136.0,53.15,400.0,1095.0,1215.0,46.0,,,,0.0032589876769528736,1.0,0.0
7167605948675,1781486320.6034715,nvidia-smi,False,97.0,45.0,38441844736.0,41875931136.0,257.2,400.0,1395.0,1215.0,55.0,,,,0.040126285772481896,12.0,0.0
7168136361875,1781486321.1338847,nvidia-smi,False,94.0,88.0,38441844736.0,41875931136.0,238.35,400.0,1410.0,1215.0,51.0,,,,0.0,0.0,0.0
7170190696046,1781486323.1882188,nvidia-smi,False,95.0,81.0,38441844736.0,41875931136.0,261.58,400.0,1380.0,1215.0,57.0,,,,0.016600468479478603,5.0,0.0
7170599563066,1781486323.597086,nvidia-smi,False,98.0,47.0,38441844736.0,41875931136.0,381.08,400.0,1365.0,1215.0,60.0,,,,0.033302780323861914,10.0,0.0
7170844881345,1781486323.8424044,nvidia-smi,False,98.0,38.0,38441844736.0,41875931136.0,411.24,400.0,1395.0,1215.0,58.0,,,,0.08076178836948777,24.0,0.0
7171326498985,1781486324.3240225,nvidia-smi,False,93.0,78.0,38441844736.0,41875931136.0,427.16,400.0,1395.0,1215.0,56.0,,,,0.10754659333944394,31.0,0.0
7171914620855,1781486324.9121442,nvidia-smi,False,97.0,49.0,38441844736.0,41875931136.0,381.08,400.0,1410.0,1215.0,60.0,,,,0.14308992769121087,41.0,0.0
7172408345645,1781486325.4058685,nvidia-smi,False,98.0,48.0,38441844736.0,41875931136.0,398.78,400.0,1350.0,1215.0,61.0,,,,0.17007841939097668,49.0,0.0
7172686314945,1781486325.683838,nvidia-smi,False,97.0,46.0,38441844736.0,41875931136.0,396.46,400.0,1380.0,1215.0,62.0,,,,0.1902434056421224,55.0,1.0
7172929196115,1781486325.9267187,nvidia-smi,False,97.0,37.0,38441844736.0,41875931136.0,410.38,400.0,1380.0,1215.0,62.0,,,,0.21672268051736432,63.0,3.0
7173180220025,1781486326.177743,nvidia-smi,False,98.0,42.0,38441844736.0,41875931136.0,418.48,400.0,1365.0,1215.0,61.0,,,,0.24350748548732049,70.0,0.0
7173471014805,1781486326.4685376,nvidia-smi,False,97.0,44.0,38441844736.0,41875931136.0,401.37,400.0,1380.0,1215.0,62.0,,,,0.26764436296975247,77.0,0.0
7173737607515,1781486326.7351303,nvidia-smi,False,97.0,42.0,38441844736.0,41875931136.0,397.33,400.0,1380.0,1215.0,62.0,,,,0.28750381912618395,83.0,0.0
7174024579885,1781486327.0221028,nvidia-smi,False,98.0,43.0,38441844736.0,41875931136.0,404.55,400.0,1350.0,1215.0,63.0,,,,0.3077706487422345,89.0,2.0
7174273117945,1781486327.2706409,nvidia-smi,False,97.0,40.0,38441844736.0,41875931136.0,406.87,400.0,1380.0,1215.0,62.0,,,,0.3342499236174763,97.0,3.0
7174517535675,1781486327.5150588,nvidia-smi,False,98.0,42.0,38441844736.0,41875931136.0,346.91,400.0,1380.0,1215.0,62.0,,,,0.357164680721051,103.0,0.0
7174763698625,1781486327.7612216,nvidia-smi,False,96.0,49.0,38441844736.0,41875931136.0,410.05,400.0,1395.0,1215.0,63.0,,,,0.3784499439861493,109.0,0.0
7175008540805,1781486328.0060637,nvidia-smi,False,98.0,46.0,38441844736.0,41875931136.0,405.42,400.0,1380.0,1215.0,62.0,,,,0.4054384356859151,117.0,0.0
7175270706895,1781486328.2682302,nvidia-smi,False,98.0,51.0,38441844736.0,41875931136.0,396.14,400.0,1365.0,1215.0,63.0,,,,0.41765963947448825,120.0,0.0
7175518344765,1781486328.5158682,nvidia-smi,False,96.0,47.0,38441844736.0,41875931136.0,397.59,400.0,1365.0,1215.0,63.0,,,,0.4442407577146349,128.0,1.0
7175770243345,1781486328.7677662,nvidia-smi,False,96.0,64.0,38441844736.0,41875931136.0,423.38,400.0,1380.0,1215.0,63.0,,,,0.4643039006008759,133.0,0.0
7176083622305,1781486329.081146,nvidia-smi,False,96.0,56.0,38441844736.0,41875931136.0,394.14,400.0,1380.0,1215.0,63.0,,,,0.48416335675730726,139.0,1.0
7176334341854,1781486329.3318648,nvidia-smi,False,98.0,49.0,38441844736.0,41875931136.0,393.82,400.0,1380.0,1215.0,63.0,,,,0.5107444749974539,147.0,0.0
7176590717525,1781486329.5882404,nvidia-smi,False,98.0,51.0,38441844736.0,41875931136.0,382.22,400.0,1365.0,1215.0,63.0,,,,0.5242896425297892,150.0,0.0
7176843766434,1781486329.8412893,nvidia-smi,False,98.0,52.0,38441844736.0,41875931136.0,396.14,400.0,1365.0,1215.0,63.0,,,,0.5738873612384153,164.0,1.0
7177476309145,1781486330.4738321,nvidia-smi,False,97.0,53.0,38441844736.0,41875931136.0,343.64,400.0,1380.0,1215.0,63.0,,,,0.6010795396679907,172.0,1.0
7177727627145,1781486330.72515,nvidia-smi,False,97.0,52.0,38441844736.0,41875931136.0,397.0,400.0,1365.0,1215.0,63.0,,,,0.6276606579081373,179.0,6.0
7177981232834,1781486330.978756,nvidia-smi,False,97.0,54.0,38441844736.0,41875931136.0,345.42,400.0,1380.0,1215.0,64.0,,,,0.641002138710663,183.0,4.0
7178231731985,1781486331.2292552,nvidia-smi,False,97.0,54.0,38441844736.0,41875931136.0,406.01,400.0,1380.0,1215.0,63.0,,,,0.6666666666666667,190.0,6.0
7178493562805,1781486331.491086,nvidia-smi,False,97.0,54.0,38441844736.0,41875931136.0,388.31,400.0,1365.0,1215.0,64.0,,,,0.6793970872797637,193.0,6.0
7178747430285,1781486331.7449532,nvidia-smi,False,95.0,53.0,38441844736.0,41875931136.0,389.77,400.0,1410.0,1215.0,61.0,,,,0.7100519401161014,200.0,0.0
7179115759265,1781486332.1132824,nvidia-smi,False,89.0,72.0,38441844736.0,41875931136.0,303.92,400.0,1410.0,1215.0,60.0,,,,0.7236989510133415,200.0,0.0
7179511830894,1781486332.5093539,nvidia-smi,False,90.0,72.0,38441844736.0,41875931136.0,322.16,400.0,1410.0,1215.0,60.0,,,,0.7291984927181994,198.0,0.0
7179901404334,1781486332.8989277,nvidia-smi,False,88.0,71.0,38441844736.0,41875931136.0,339.59,400.0,1410.0,1215.0,59.0,,,,0.7289948059883898,195.0,0.0
7180235910904,1781486333.2334342,nvidia-smi,False,87.0,70.0,38441844736.0,41875931136.0,318.45,400.0,1410.0,1215.0,59.0,,,,0.6632039922599042,176.0,0.0
7180620421224,1781486333.6179445,nvidia-smi,False,89.0,72.0,38441844736.0,41875931136.0,348.61,400.0,1410.0,1215.0,59.0,,,,0.6594357877584276,172.0,0.0
7180992618494,1781486333.9901414,nvidia-smi,False,90.0,73.0,38441844736.0,41875931136.0,345.69,400.0,1410.0,1215.0,59.0,,,,0.6589265709339036,169.0,0.0
7181364562434,1781486334.3620858,nvidia-smi,False,89.0,72.0,38441844736.0,41875931136.0,340.18,400.0,1410.0,1215.0,59.0,,,,0.608208575211325,154.0,0.0
7181731759344,1781486334.7292824,nvidia-smi,False,87.0,71.0,38441844736.0,41875931136.0,310.03,400.0,1410.0,1215.0,58.0,,,,0.4905794887463082,123.0,0.0
7182074636664,1781486335.0721602,nvidia-smi,False,89.0,75.0,38441844736.0,41875931136.0,259.52,400.0,1410.0,1215.0,56.0,,,,0.27110703737651487,67.0,0.0
7182535358474,1781486335.5328817,nvidia-smi,False,92.0,80.0,38441844736.0,41875931136.0,161.56,400.0,1410.0,1215.0,54.0,,,,0.0,0.0,0.0
